Season,Player,Conference,Date,Team,Pos,Height,Weight,Age,Draft Yr,YOS
2012-2013,Carmelo Anthony,East,"Dec 3, 2012",New York Knicks,F,6-8,240,28,2003,9
2012-2013,Kevin Durant,West,"Dec 3, 2012",Oklahoma City Thunder,SF,6-11,240,24,2007,5
2012-2013,Al Horford,East,"Nov 26, 2012",Atlanta Hawks,FC,6-9,240,26,2007,5
2012-2013,Tim Duncan,West,"Nov 26, 2012",San Antonio Spurs,FC,6-11,250,36,1997,15
2012-2013,LeBron James,East,"Nov 19, 2012",Miami Heat,F,6-9,250,28,2003,9
2012-2013,Kevin Durant,West,"Nov 19, 2012",Oklahoma City Thunder,SF,6-11,240,24,2007,5
2012-2013,LeBron James,East,"Nov 12, 2012",Miami Heat,F,6-9,250,28,2003,9
2012-2013,Kenneth Faried,West,"Nov 12, 2012",Denver Nuggets,F,6-8,228,23,2011,1
2012-2013,Brandon Jennings,East,"Nov 5, 2012",Milwaukee Bucks,G,6-1,170,23,2009,3
2012-2013,James Harden,West,"Nov 5, 2012",Houston Rockets,SG,6-5,220,23,2009,3
2011-2012,LeBron James,East,"Apr 23, 2012",Miami Heat,F,6-9,250,27,2003,8
2011-2012,Al Jefferson,West,"Apr 23, 2012",Utah Jazz,FC,6-10,289,27,2004,7
2011-2012,Kevin Garnett,East,"Apr 16, 2012",Boston Celtics,PF,6-11,240,35,1995,16
2011-2012,Andrew Bynum,West,"Apr 16, 2012",Los Angeles Lakers,C,7-0,285,24,2005,6
2011-2012,LeBron James,East,"Apr 9, 2012",Miami Heat,F,6-9,250,27,2003,8
2011-2012,Goran Dragic,West,"Apr 9, 2012",Houston Rockets,G,6-4,190,25,2008,3
2011-2012,Paul Pierce,East,"Apr 2, 2012",Boston Celtics,SF,6-7,235,34,1998,13
2011-2012,Chris Paul,West,"Apr 2, 2012",Los Angeles Clippers,PG,6-0,175,26,2005,6
2011-2012,Joe Johnson,East,"Mar 26, 2012",Atlanta Hawks,SG,6-7,240,30,2001,10
2011-2012,Kevin Durant,West,"Mar 26, 2012",Oklahoma City Thunder,SF,6-11,240,23,2007,4
2011-2012,Drew Gooden,East,"Mar 19, 2012",Milwaukee Bucks,FC,6-10,250,30,2002,9
2011-2012,Andrew Bynum,West,"Mar 19, 2012",Los Angeles Lakers,C,7-0,285,24,2005,6
2011-2012,Ersan Ilyasova,East,"Mar 12, 2012",Milwaukee Bucks,F,6-10,235,24,2005,4
2011-2012,Monta Ellis,West,"Mar 12, 2012",Golden State Warriors,G,6-3,185,26,2005,6
2011-2012,Derrick Rose,East,"Mar 5, 2012",Chicago Bulls,PG,6-3,200,23,2008,3
2011-2012,Ty Lawson,West,"Mar 5, 2012",Denver Nuggets,PG,5-11,195,24,2009,2
2011-2012,LeBron James,East,"Feb 20, 2012",Miami Heat,F,6-9,250,27,2003,8
2011-2012,Kevin Durant,West,"Feb 20, 2012",Oklahoma City Thunder,SF,6-11,240,23,2007,4
2011-2012,Jeremy Lin,East,"Feb 13, 2012",New York Knicks,G,6-3,200,23,2010,1
2011-2012,Russell Westbrook,West,"Feb 13, 2012",Oklahoma City Thunder,G,6-4,200,23,2008,3
2011-2012,Paul Pierce,East,"Feb 6, 2012",Boston Celtics,SF,6-7,235,34,1998,13
2011-2012,Tony Parker,West,"Feb 6, 2012",San Antonio Spurs,G,6-2,185,29,2001,10
2011-2012,LeBron James,East,"Jan 30, 2012",Miami Heat,F,6-9,250,27,2003,8
2011-2012,Russell Westbrook,West,"Jan 30, 2012",Oklahoma City Thunder,G,6-4,200,23,2008,3
2011-2012,Dwight Howard,East,"Jan 23, 2012",Orlando Magic,C,6-11,265,26,2004,7
2011-2012,Marc Gasol,West,"Jan 23, 2012",Memphis Grizzlies,C,7-1,255,27,2007,3
2011-2012,Derrick Rose,East,"Jan 16, 2012",Chicago Bulls,PG,6-3,200,23,2008,3
2011-2012,Kobe Bryant,West,"Jan 16, 2012",Los Angeles Lakers,SG,6-6,212,33,1996,15
2011-2012,LeBron James,East,"Jan 9, 2012",Miami Heat,F,6-9,250,27,2003,8
2011-2012,Kobe Bryant,West,"Jan 9, 2012",Los Angeles Lakers,SG,6-6,212,33,1996,15
2011-2012,LeBron James,East,"Jan 3, 2012",Miami Heat,F,6-9,250,27,2003,8
2011-2012,Kevin Durant,West,"Jan 3, 2012",Oklahoma City Thunder,SF,6-11,240,23,2007,4
2010-2011,Carmelo Anthony,East,"Apr 11, 2011",New York Knicks,F,6-8,240,26,2003,7
2010-2011,Kevin Durant,West,"Apr 11, 2011",Oklahoma City Thunder,SF,6-11,240,22,2007,3
2010-2011,Carmelo Anthony,East,"Apr 4, 2011",New York Knicks,F,6-8,240,26,2003,7
2010-2011,Zach Randolph,West,"Apr 4, 2011",Memphis Grizzlies,PF,6-9,260,29,2001,9
2010-2011,Dwight Howard,East,"Mar 28, 2011",Orlando Magic,C,6-11,265,25,2004,6
2010-2011,Kobe Bryant,West,"Mar 28, 2011",Los Angeles Lakers,SG,6-6,212,32,1996,14
2010-2011,LeBron James,East,"Mar 21, 2011",Miami Heat,F,6-9,250,26,2003,7
2010-2011,Kyle Lowry,West,"Mar 21, 2011",Houston Rockets,PG,6-0,196,24,2006,4
2010-2011,Dwyane Wade,East,"Mar 14, 2011",Miami Heat,SG,6-4,220,29,2003,7
2010-2011,Tony Parker,West,"Mar 14, 2011",San Antonio Spurs,G,6-2,185,28,2001,9
2010-2011,Paul Pierce,East,"Mar 7, 2011",Boston Celtics,SF,6-7,235,33,1998,12
2010-2011,Russell Westbrook,West,"Mar 7, 2011",Oklahoma City Thunder,G,6-4,200,22,2008,2
2010-2011,Dwight Howard,East,"Feb 28, 2011",Orlando Magic,C,6-11,265,25,2004,6
2010-2011,Kevin Martin,West,"Feb 28, 2011",Houston Rockets,SG,6-7,199,28,2004,6
2010-2011,Dwight Howard,East,"Feb 14, 2011",Orlando Magic,C,6-11,265,25,2004,6
2010-2011,LaMarcus Aldridge,West,"Feb 14, 2011",Portland Trail Blazers,FC,6-11,265,25,2006,4
2010-2011,LeBron James,East,"Feb 7, 2011",Miami Heat,F,6-9,250,26,2003,7
2010-2011,Kevin Durant,West,"Feb 7, 2011",Oklahoma City Thunder,SF,6-11,240,22,2007,3
2010-2011,LeBron James,East,"Jan 31, 2011",Miami Heat,F,6-9,250,26,2003,7
2010-2011,Zach Randolph,West,"Jan 31, 2011",Memphis Grizzlies,PF,6-9,260,29,2001,9
2010-2011,Dwight Howard,East,"Jan 24, 2011",Orlando Magic,C,6-11,265,25,2004,6
2010-2011,LaMarcus Aldridge,West,"Jan 24, 2011",Portland Trail Blazers,FC,6-11,265,25,2006,4
2010-2011,Derrick Rose,East,"Jan 18, 2011",Chicago Bulls,PG,6-3,200,22,2008,2
2010-2011,Russell Westbrook,West,"Jan 18, 2011",Oklahoma City Thunder,G,6-4,200,22,2008,2
2010-2011,LeBron James,East,"Jan 10, 2011",Miami Heat,F,6-9,250,26,2003,7
2010-2011,Zach Randolph,West,"Jan 10, 2011",Memphis Grizzlies,PF,6-9,260,29,2001,9
2010-2011,Dwyane Wade,East,"Jan 3, 2011",Miami Heat,SG,6-4,220,29,2003,7
2010-2011,Chauncey Billups,West,"Jan 3, 2011",Denver Nuggets,G,6-3,210,34,1997,13
2010-2011,LeBron James,East,"Dec 27, 2010",Miami Heat,F,6-9,250,26,2003,7
2010-2011,Monta Ellis,West,"Dec 27, 2010",Golden State Warriors,G,6-3,185,25,2005,5
2010-2011,Paul Pierce,East,"Dec 20, 2010",Boston Celtics,SF,6-7,235,33,1998,12
2010-2011,Tony Parker,West,"Dec 20, 2010",San Antonio Spurs,G,6-2,185,28,2001,9
2010-2011,Dwyane Wade,East,"Dec 13, 2010",Miami Heat,SG,6-4,220,29,2003,7
2010-2011,Dirk Nowitzki,West,"Dec 13, 2010",Dallas Mavericks,PF,7-0,245,32,1998,12
2010-2011,Amar'e Stoudemire,East,"Dec 6, 2010",New York Knicks,FC,6-10,245,28,2002,8
2010-2011,Russell Westbrook,West,"Dec 6, 2010",Oklahoma City Thunder,G,6-4,200,22,2008,2
2010-2011,Dwight Howard,East,"Nov 29, 2010",Orlando Magic,C,6-11,265,25,2004,6
2010-2011,Dirk Nowitzki,West,"Nov 29, 2010",Dallas Mavericks,PF,7-0,245,32,1998,12
2010-2011,Amar'e Stoudemire,East,"Nov 22, 2010",New York Knicks,FC,6-10,245,28,2002,8
2010-2011,Russell Westbrook,West,"Nov 22, 2010",Oklahoma City Thunder,G,6-4,200,22,2008,2
2010-2011,Derrick Rose,East,"Nov 15, 2010",Chicago Bulls,PG,6-3,200,22,2008,2
2010-2011,Deron Williams,West,"Nov 15, 2010",Utah Jazz,PG,6-3,200,26,2005,5
2010-2011,Dwight Howard,East,"Nov 8, 2010",Orlando Magic,C,6-11,265,25,2004,6
2010-2011,Chris Paul,West,"Nov 8, 2010",New Orleans Hornets,PG,6-0,175,25,2005,5
2010-2011,Rajon Rondo,East,"Nov 1, 2010",Boston Celtics,PG,6-1,180,25,2006,4
2010-2011,Pau Gasol,West,"Nov 1, 2010",Los Angeles Lakers,FC,7-0,250,30,2001,9
2009-2010,Dwight Howard,East,"Apr 12, 2010",Orlando Magic,C,6-11,265,24,2004,5
2009-2010,Dirk Nowitzki,West,"Apr 12, 2010",Dallas Mavericks,PF,7-0,245,31,1998,11
2009-2010,Chris Bosh,East,"Apr 5, 2010",Toronto Raptors,PF,6-11,235,25,2003,6
2009-2010,Kevin Durant,West,"Apr 5, 2010",Oklahoma City Thunder,SF,6-11,240,21,2007,2
2009-2010,Dwyane Wade,East,"Mar 29, 2010",Miami Heat,SG,6-4,220,28,2003,6
2009-2010,Manu Ginobili,West,"Mar 29, 2010",San Antonio Spurs,SG,6-6,205,32,1999,7
2009-2010,Paul Pierce,East,"Mar 22, 2010",Boston Celtics,SF,6-7,235,32,1998,11
2009-2010,Pau Gasol,West,"Mar 22, 2010",Los Angeles Lakers,FC,7-0,250,29,2001,8
2009-2010,Andrew Bogut,East,"Mar 15, 2010",Milwaukee Bucks,C,7-0,260,25,2005,4
2009-2010,Brandon Roy,West,"Mar 15, 2010",Portland Trail Blazers,G,6-6,211,25,2006,3
2009-2010,Dwyane Wade,East,"Mar 8, 2010",Miami Heat,SG,6-4,220,28,2003,6
2009-2010,Dirk Nowitzki,West,"Mar 8, 2010",Dallas Mavericks,PF,7-0,245,31,1998,11
2009-2010,LeBron James,East,"Mar 1, 2010",Cleveland Cavaliers,F,6-9,250,25,2003,6
2009-2010,Dirk Nowitzki,West,"Mar 1, 2010",Dallas Mavericks,PF,7-0,245,31,1998,11
2009-2010,Dwight Howard,East,"Feb 22, 2010",Orlando Magic,C,6-11,265,24,2004,5
2009-2010,Carlos Boozer,West,"Feb 22, 2010",Utah Jazz,PF,6-9,266,28,2002,7
2009-2010,LeBron James,East,"Feb 8, 2010",Cleveland Cavaliers,F,6-9,250,25,2003,6
2009-2010,Russell Westbrook,West,"Feb 8, 2010",Oklahoma City Thunder,G,6-4,200,21,2008,1
2009-2010,Chris Bosh,East,"Feb 1, 2010",Toronto Raptors,PF,6-11,235,25,2003,6
2009-2010,Kevin Durant,West,"Feb 1, 2010",Oklahoma City Thunder,SF,6-11,240,21,2007,2
2009-2010,LeBron James,East,"Jan 25, 2010",Cleveland Cavaliers,F,6-9,250,25,2003,6
2009-2010,Chauncey Billups,West,"Jan 25, 2010",Denver Nuggets,G,6-3,210,33,1997,12
2009-2010,Stephen Jackson,East,"Jan 19, 2010",Charlotte Bobcats,GF,6-8,220,31,1997,12
2009-2010,Carmelo Anthony,West,"Jan 19, 2010",Denver Nuggets,F,6-8,240,25,2003,6
2009-2010,LeBron James,East,"Jan 11, 2010",Cleveland Cavaliers,F,6-9,250,25,2003,6
2009-2010,Chris Kaman,East,"Jan 11, 2010",Los Angeles Clippers,C,7-0,265,27,2003,6
2009-2010,Derrick Rose,East,"Jan 4, 2010",Chicago Bulls,PG,6-3,200,21,2008,1
2009-2010,Kevin Durant,West,"Jan 4, 2010",Oklahoma City Thunder,SF,6-11,240,21,2007,2
2009-2010,LeBron James,East,"Dec 28, 2009",Cleveland Cavaliers,F,6-9,250,25,2003,6
2009-2010,Kobe Bryant,West,"Dec 28, 2009",Los Angeles Lakers,SG,6-6,212,31,1996,13
2009-2010,Dwight Howard,East,"Dec 21, 2009",Orlando Magic,C,6-11,265,24,2004,5
2009-2010,Kobe Bryant,West,"Dec 21, 2009",Los Angeles Lakers,SG,6-6,212,31,1996,13
2009-2010,Rodney Stuckey,East,"Dec 14, 2009",Detroit Pistons,G,6-5,205,23,2007,2
2009-2010,Deron Williams,West,"Dec 14, 2009",Utah Jazz,PG,6-3,200,25,2005,4
2009-2010,Kevin Garnett,East,"Dec 7, 2009",Boston Celtics,PF,6-11,240,33,1995,14
2009-2010,Carlos Boozer,West,"Dec 7, 2009",Utah Jazz,PF,6-9,266,28,2002,7
2009-2010,Gerald Wallace,East,"Nov 30, 2009",Charlotte Bobcats,F,6-7,220,27,2001,8
2009-2010,Tim Duncan,West,"Nov 30, 2009",San Antonio Spurs,FC,6-11,250,33,1997,12
2009-2010,LeBron James,East,"Nov 23, 2009",Cleveland Cavaliers,F,6-9,250,25,2003,6
2009-2010,Kobe Bryant,West,"Nov 23, 2009",Los Angeles Lakers,SG,6-6,212,31,1996,13
2009-2010,Brandon Jennings,East,"Nov 16, 2009",Milwaukee Bucks,G,6-1,170,20,2009,0
2009-2010,Dirk Nowitzki,West,"Nov 16, 2009",Dallas Mavericks,PF,7-0,245,31,1998,11
2009-2010,Joe Johnson,East,"Nov 9, 2009",Atlanta Hawks,SG,6-7,240,28,2001,8
2009-2010,Chris Kaman,West,"Nov 9, 2009",Los Angeles Clippers,C,7-0,265,27,2003,6
2009-2010,Dwight Howard,East,"Nov 2, 2009",Orlando Magic,C,6-11,265,24,2004,5
2009-2010,Carmelo Anthony,West,"Nov 2, 2009",Denver Nuggets,F,6-8,240,25,2003,6
2008-2009,Ben Gordon,East,"Apr 13, 2009",Chicago Bulls,SG,6-3,200,25,2004,4
2008-2009,Brandon Roy,West,"Apr 13, 2009",Portland Trail Blazers,G,6-6,211,24,2006,2
2008-2009,Dwight Howard,East,"Apr 6, 2009",Orlando Magic,C,6-11,265,23,2004,4
2008-2009,Jason Kidd,West,"Apr 6, 2009",Dallas Mavericks,PG,6-4,210,35,1994,14
2008-2009,Dwight Howard,East,"Mar 30, 2009",Orlando Magic,C,6-11,265,23,2004,4
2008-2009,Tony Parker,West,"Mar 30, 2009",San Antonio Spurs,G,6-2,185,26,2001,7
2008-2009,LeBron James,East,"Mar 23, 2009",Cleveland Cavaliers,F,6-9,250,24,2003,5
2008-2009,Chris Paul,West,"Mar 23, 2009",New Orleans Hornets,PG,6-0,175,23,2005,3
2008-2009,LeBron James,East,"Mar 16, 2009",Cleveland Cavaliers,F,6-9,250,24,2003,5
2008-2009,Kobe Bryant,West,"Mar 16, 2009",Los Angeles Lakers,SG,6-6,212,30,1996,12
2008-2009,Dwyane Wade,East,"Mar 9, 2009",Miami Heat,SG,6-4,220,27,2003,5
2008-2009,Deron Williams,West,"Mar 9, 2009",Utah Jazz,PG,6-3,200,24,2005,3
2008-2009,Devin Harris,East,"Mar 2, 2009",New Jersey Nets,G,6-3,185,26,2004,4
2008-2009,David West,West,"Mar 2, 2009",New Orleans Hornets,PF,6-9,250,28,2003,5
2008-2009,Dwight Howard,East,"Feb 23, 2009",Orlando Magic,C,6-11,265,23,2004,4
2008-2009,Pau Gasol,West,"Feb 23, 2009",Los Angeles Lakers,FC,7-0,250,28,2001,7
2008-2009,LeBron James,East,"Feb 9, 2009",Cleveland Cavaliers,F,6-9,250,24,2003,5
2008-2009,Pau Gasol,West,"Feb 9, 2009",Los Angeles Lakers,FC,7-0,250,28,2001,7
2008-2009,David Lee,East,"Feb 2, 2009",New York Knicks,FC,6-9,245,25,2005,3
2008-2009,Tony Parker,West,"Feb 2, 2009",San Antonio Spurs,G,6-2,185,26,2001,7
2008-2009,LeBron James,East,"Jan 26, 2009",Cleveland Cavaliers,F,6-9,250,24,2003,5
2008-2009,Andrew Bynum,West,"Jan 26, 2009",Los Angeles Lakers,C,7-0,285,21,2005,3
2008-2009,Jameer Nelson,East,"Jan 19, 2009",Orlando Magic,G,6-0,190,27,2004,4
2008-2009,Chris Paul,West,"Jan 19, 2009",New Orleans Hornets,PG,6-0,175,23,2005,3
2008-2009,Dwight Howard,East,"Jan 12, 2009",Orlando Magic,C,6-11,265,23,2004,4
2008-2009,Kobe Bryant,West,"Jan 12, 2009",Los Angeles Lakers,SG,6-6,212,30,1996,12
2008-2009,Rodney Stuckey,East,"Jan 5, 2009",Detroit Pistons,G,6-5,205,22,2007,1
2008-2009,Al Jefferson,West,"Jan 5, 2009",Minnesota Timberwolves,FC,6-10,289,24,2004,4
2008-2009,LeBron James,East,"Dec 29, 2008",Cleveland Cavaliers,F,6-9,250,24,2003,5
2008-2009,Kobe Bryant,West,"Dec 29, 2008",Los Angeles Lakers,SG,6-6,212,30,1996,12
2008-2009,Jameer Nelson,East,"Dec 22, 2008",Orlando Magic,G,6-0,190,27,2004,4
2008-2009,Chris Paul,West,"Dec 22, 2008",New Orleans Hornets,PG,6-0,175,23,2005,3
2008-2009,Al Harrington,East,"Dec 15, 2008",New York Knicks,F,6-9,245,29,1998,10
2008-2009,Tim Duncan,West,"Dec 15, 2008",San Antonio Spurs,FC,6-11,250,32,1997,11
2008-2009,Dwyane Wade,East,"Dec 8, 2008",Miami Heat,SG,6-4,220,27,2003,5
2008-2009,Dirk Nowitzki,West,"Dec 8, 2008",Dallas Mavericks,PF,7-0,245,30,1998,10
2008-2009,Devin Harris,East,"Dec 1, 2008",New Jersey Nets,G,6-3,185,26,2004,4
2008-2009,Brandon Roy,West,"Dec 1, 2008",Portland Trail Blazers,G,6-6,211,24,2006,2
2008-2009,Dwyane Wade,East,"Nov 24, 2008",Miami Heat,SG,6-4,220,27,2003,5
2008-2009,Dirk Nowitzki,West,"Nov 24, 2008",Dallas Mavericks,PF,7-0,245,30,1998,10
2008-2009,LeBron James,East,"Nov 17, 2008",Cleveland Cavaliers,F,6-9,250,24,2003,5
2008-2009,Chauncey Billups,West,"Nov 17, 2008",Denver Nuggets,G,6-3,210,32,1997,11
2008-2009,LeBron James,East,"Nov 10, 2008",Cleveland Cavaliers,F,6-9,250,24,2003,5
2008-2009,Amar'e Stoudemire,West,"Nov 10, 2008",Phoenix Suns,FC,6-10,245,26,2002,6
2008-2009,Chris Bosh,East,"Nov 3, 2008",Toronto Raptors,PF,6-11,235,24,2003,5
2008-2009,Chris Paul,West,"Nov 3, 2008",New Orleans Hornets,PG,6-0,175,23,2005,3
2007-2008,Kevin Garnett,East,"Apr 13, 2008",Boston Celtics,PF,6-11,240,31,1995,12
2007-2008,Allen Iverson,West,"Apr 13, 2008",Denver Nuggets,G,6-0,165,32,1996,11
2007-2008,Joe Johnson,East,"Apr 6, 2008",Atlanta Hawks,SG,6-7,240,26,2001,6
2007-2008,Kobe Bryant,West,"Apr 6, 2008",Los Angeles Lakers,SG,6-6,212,29,1996,11
2007-2008,Jason Richardson,East,"Mar 30, 2008",Charlotte Bobcats,GF,6-6,225,27,2001,6
2007-2008,Carmelo Anthony,West,"Mar 30, 2008",Denver Nuggets,F,6-8,240,23,2003,4
2007-2008,Kevin Garnett,East,"Mar 23, 2008",Boston Celtics,PF,6-11,240,31,1995,12
2007-2008,Chris Paul,West,"Mar 23, 2008",New Orleans Hornets,PG,6-0,175,22,2005,2
2007-2008,Antawn Jamison,East,"Mar 16, 2008",Washington Wizards,F,6-9,235,31,1998,9
2007-2008,Amar'e Stoudemire,West,"Mar 16, 2008",Phoenix Suns,FC,6-10,245,25,2002,5
2007-2008,Jason Richardson,East,"Mar 9, 2008",Charlotte Bobcats,GF,6-6,225,27,2001,6
2007-2008,Tracy McGrady,West,"Mar 9, 2008",Houston Rockets,GF,6-8,210,28,1997,10
2007-2008,Andre Miller,East,"Mar 2, 2008",Philadelphia Sixers,PG,6-3,200,31,1999,8
2007-2008,Kobe Bryant,West,"Mar 2, 2008",Los Angeles Lakers,SG,6-6,212,29,1996,11
2007-2008,LeBron James,East,"Feb 24, 2008",Cleveland Cavaliers,F,6-9,250,23,2003,4
2007-2008,Manu Ginobili,West,"Feb 24, 2008",San Antonio Spurs,SG,6-6,205,30,1999,5
2007-2008,Andre Miller,East,"Feb 10, 2008",Philadelphia Sixers,PG,6-3,200,31,1999,8
2007-2008,Amar'e Stoudemire,West,"Feb 10, 2008",Phoenix Suns,FC,6-10,245,25,2002,5
2007-2008,Hedo Turkoglu,East,"Feb 3, 2008",Orlando Magic,F,6-10,220,28,2000,7
2007-2008,Brad Miller,West,"Feb 3, 2008",Sacramento Kings,C,7-0,261,31,1998,9
2007-2008,Hedo Turkoglu,East,"Jan 27, 2008",Orlando Magic,F,6-10,220,28,2000,7
2007-2008,Al Jefferson,West,"Jan 27, 2008",Minnesota Timberwolves,FC,6-10,289,23,2004,3
2007-2008,Gerald Wallace,East,"Jan 20, 2008",Charlotte Bobcats,F,6-7,220,25,2001,6
2007-2008,Baron Davis,West,"Jan 20, 2008",Golden State Warriors,G,6-3,215,28,1999,8
2007-2008,Chris Bosh,East,"Jan 13, 2008",Toronto Raptors,PF,6-11,235,23,2003,4
2007-2008,Kobe Bryant,West,"Jan 13, 2008",Los Angeles Lakers,SG,6-6,212,29,1996,11
2007-2008,LeBron James,East,"Jan 6, 2008",Cleveland Cavaliers,F,6-9,250,23,2003,4
2007-2008,Allen Iverson,West,"Jan 6, 2008",Denver Nuggets,G,6-0,165,32,1996,11
2007-2008,Paul Pierce,East,"Dec 30, 2007",Boston Celtics,SF,6-7,235,30,1998,9
2007-2008,Chris Paul,West,"Dec 30, 2007",New Orleans Hornets,PG,6-0,175,22,2005,2
2007-2008,Joe Johnson,East,"Dec 23, 2007",Atlanta Hawks,SG,6-7,240,26,2001,6
2007-2008,Carmelo Anthony,West,"Dec 23, 2007",Denver Nuggets,F,6-8,240,23,2003,4
2007-2008,Paul Pierce,East,"Dec 16, 2007",Boston Celtics,SF,6-7,235,30,1998,9
2007-2008,Brandon Roy,West,"Dec 16, 2007",Portland Trail Blazers,G,6-6,211,23,2006,1
2007-2008,Josh Smith,East,"Dec 9, 2007",Atlanta Hawks,PF,6-9,225,22,2004,3
2007-2008,Brandon Roy,West,"Dec 9, 2007",Portland Trail Blazers,G,6-6,211,23,2006,1
2007-2008,Dwight Howard,East,"Dec 2, 2007",Orlando Magic,C,6-11,265,22,2004,3
2007-2008,Stephen Jackson,West,"Dec 2, 2007",Golden State Warriors,GF,6-8,220,29,1997,10
2007-2008,LeBron James,East,"Nov 25, 2007",Cleveland Cavaliers,F,6-9,250,23,2003,4
2007-2008,Tony Parker,West,"Nov 25, 2007",San Antonio Spurs,G,6-2,185,25,2001,6
2007-2008,Dwight Howard,East,"Nov 18, 2007",Orlando Magic,C,6-11,265,22,2004,3
2007-2008,Allen Iverson,West,"Nov 18, 2007",Denver Nuggets,G,6-0,165,32,1996,11
2007-2008,Kevin Garnett,East,"Nov 11, 2007",Boston Celtics,PF,6-11,240,31,1995,12
2007-2008,Yao Ming,West,"Nov 11, 2007",Houston Rockets,C,7-6,310,27,2002,5
2007-2008,Danny Granger,East,"Nov 4, 2007",Indiana Pacers,GF,6-9,222,24,2005,2
2007-2008,Tracy McGrady,West,"Nov 4, 2007",Houston Rockets,GF,6-8,210,28,1997,10
2006-2007,Ben Gordon,East,"Apr 15, 2007",Chicago Bulls,SG,6-3,200,23,2004,2
2006-2007,Tracy McGrady,West,"Apr 15, 2007",Houston Rockets,GF,6-8,210,27,1997,9
2006-2007,Gerald Wallace,East,"Apr 8, 2007",Charlotte Bobcats,F,6-7,220,24,2001,5
2006-2007,Tim Duncan,West,"Apr 8, 2007",San Antonio Spurs,FC,6-11,250,30,1997,9
2006-2007,Chris Bosh,East,"Apr 1, 2007",Toronto Raptors,PF,6-11,235,22,2003,3
2006-2007,Yao Ming,West,"Apr 1, 2007",Houston Rockets,C,7-6,310,26,2002,4
2006-2007,Gerald Wallace,East,"Mar 25, 2007",Charlotte Bobcats,F,6-7,220,24,2001,5
2006-2007,Kobe Bryant,West,"Mar 25, 2007",Los Angeles Lakers,SG,6-6,212,28,1996,10
2006-2007,Jason Kidd,East,"Mar 18, 2007",New Jersey Nets,PG,6-4,210,33,1994,12
2006-2007,Kobe Bryant,West,"Mar 18, 2007",Los Angeles Lakers,SG,6-6,212,28,1996,10
2006-2007,LeBron James,East,"Mar 11, 2007",Cleveland Cavaliers,F,6-9,250,22,2003,3
2006-2007,Manu Ginobili,West,"Mar 11, 2007",San Antonio Spurs,SG,6-6,205,29,1999,4
2006-2007,Al Jefferson,East,"Mar 4, 2007",Boston Celtics,FC,6-10,289,22,2004,2
2006-2007,Kevin Martin,West,"Mar 4, 2007",Sacramento Kings,SG,6-7,199,24,2004,2
2006-2007,Vince Carter,East,"Feb 25, 2007",New Jersey Nets,SF,6-6,220,30,1998,8
2006-2007,Amar'e Stoudemire,West,"Feb 25, 2007",Phoenix Suns,FC,6-10,245,24,2002,4
2006-2007,Dwyane Wade,East,"Feb 11, 2007",Miami Heat,SG,6-4,220,25,2003,3
2006-2007,Carmelo Anthony,West,"Feb 11, 2007",Denver Nuggets,F,6-8,240,22,2003,3
2006-2007,Dwyane Wade,East,"Feb 4, 2007",Miami Heat,SG,6-4,220,25,2003,3
2006-2007,Mehmet Okur,West,"Feb 4, 2007",Utah Jazz,FC,6-11,249,27,2001,4
2006-2007,Ben Gordon,East,"Jan 28, 2007",Chicago Bulls,SG,6-3,200,23,2004,2
2006-2007,Steve Nash,West,"Jan 28, 2007",Phoenix Suns,G,6-3,178,33,1996,10
2006-2007,Caron Butler,East,"Jan 21, 2007",Washington Wizards,SF,6-7,228,26,2002,4
2006-2007,Steve Nash,West,"Jan 21, 2007",Phoenix Suns,G,6-3,178,33,1996,10
2006-2007,Dwyane Wade,East,"Jan 14, 2007",Miami Heat,SG,6-4,220,25,2003,3
2006-2007,Dirk Nowitzki,West,"Jan 14, 2007",Dallas Mavericks,PF,7-0,245,28,1998,8
2006-2007,Gilbert Arenas,East,"Jan 7, 2007",Washington Wizards,G,6-3,191,25,2001,5
2006-2007,Kevin Garnett,West,"Jan 7, 2007",Minnesota Timberwolves,PF,6-11,240,30,1995,11
2006-2007,Michael Redd,East,"Dec 31, 2006",Milwaukee Bucks,G,6-6,220,27,2000,6
2006-2007,Josh Howard,West,"Dec 31, 2006",Dallas Mavericks,GF,6-7,210,26,2003,3
2006-2007,Mo Williams,East,"Dec 24, 2006",Milwaukee Bucks,G,6-1,198,24,2003,3
2006-2007,Josh Howard,West,"Dec 24, 2006",Dallas Mavericks,GF,6-7,210,26,2003,3
2006-2007,Gilbert Arenas,East,"Dec 17, 2006",Washington Wizards,G,6-3,191,25,2001,5
2006-2007,Carlos Boozer,West,"Dec 17, 2006",Utah Jazz,PF,6-9,266,25,2002,4
2006-2007,Gilbert Arenas,East,"Dec 10, 2006",Washington Wizards,G,6-3,191,25,2001,5
2006-2007,Steve Nash,West,"Dec 10, 2006",Phoenix Suns,G,6-3,178,33,1996,10
2006-2007,Michael Redd,East,"Dec 3, 2006",Milwaukee Bucks,G,6-6,220,27,2000,6
2006-2007,Carmelo Anthony,West,"Dec 3, 2006",Denver Nuggets,F,6-8,240,22,2003,3
2006-2007,Dwight Howard,East,"Nov 26, 2006",Orlando Magic,C,6-11,265,21,2004,2
2006-2007,Carmelo Anthony,West,"Nov 26, 2006",Denver Nuggets,F,6-8,240,22,2003,3
2006-2007,LeBron James,East,"Nov 19, 2006",Cleveland Cavaliers,F,6-9,250,22,2003,3
