Season,Player,Conference,Date,Team,Pos,Height,Weight,Age,Draft Yr,YOS
2020-2021,Bojan Bogdanovic,West,"May 10, 2021",Utah Jazz,F,6-7,226,31,2011,6
2020-2021,Jayson Tatum,East,"May 3, 2021",Boston Celtics,SF,6-8,210,22,2017,3
2020-2021,Devin Booker,West,"May 3, 2021",Phoenix Suns,SG,6-6,206,24,2015,5
2020-2021,Bradley Beal,East,"Apr 26, 2021",Washington Wizards,SG,6-4,207,27,2012,8
2020-2021,Luka Doncic,West,"Apr 26, 2021",Dallas Mavericks,SF,6-6,230,22,2018,2
2020-2021,Julius Randle,East,"Apr 19, 2021",New York Knicks,PF,6-9,250,26,2014,6
2020-2021,Stephen Curry,West,"Apr 19, 2021",Golden State Warriors,G,6-2,185,32,2009,11
2020-2021,Jayson Tatum,East,"Apr 12, 2021",Boston Celtics,SF,6-8,210,22,2017,3
2020-2021,Paul George,West,"Apr 12, 2021",Los Angeles Clippers,GF,6-8,220,30,2010,10
2020-2021,Jrue Holiday,East,"Apr 5, 2021",Milwaukee Bucks,G,6-4,205,30,2009,11
2020-2021,Luka Doncic,West,"Apr 5, 2021",Dallas Mavericks,SF,6-6,230,22,2018,2
2020-2021,Terry Rozier,East,"Mar 29, 2021",Charlotte Hornets,G,6-1,190,26,2015,5
2020-2021,De'Aaron Fox,West,"Mar 29, 2021",Sacramento Kings,PG,6-3,185,23,2017,3
2020-2021,Giannis Antetokounmpo,East,"Mar 22, 2021",Milwaukee Bucks,F,6-11,243,26,2013,7
2020-2021,Nikola Jokic,West,"Mar 22, 2021",Denver Nuggets,C,6-11,284,26,2014,5
2020-2021,Giannis Antetokounmpo,East,"Mar 1, 2021",Milwaukee Bucks,F,6-11,243,26,2013,7
2020-2021,Devin Booker,West,"Mar 1, 2021",Phoenix Suns,SG,6-6,206,24,2015,5
2020-2021,James Harden,East,"Feb 22, 2021",Brooklyn Nets,SG,6-5,220,31,2009,11
2020-2021,Damian Lillard,West,"Feb 22, 2021",Portland Trail Blazers,G,6-2,195,30,2012,8
2020-2021,Saddiq Bey,East,"Feb 15, 2021",Detroit Pistons,F,6-7,215,21,2020,0
2020-2021,Devin Booker,West,"Feb 15, 2021",Phoenix Suns,SG,6-6,206,24,2015,5
2020-2021,Giannis Antetokounmpo,East,"Feb 8, 2021",Milwaukee Bucks,F,6-11,243,26,2013,7
2020-2021,De'Aaron Fox,West,"Feb 8, 2021",Sacramento Kings,PG,6-3,185,23,2017,3
2020-2021,James Harden,East,"Feb 1, 2021",Brooklyn Nets,SG,6-5,220,31,2009,11
2020-2021,Nikola Jokic,West,"Feb 1, 2021",Denver Nuggets,C,6-11,284,26,2014,5
2020-2021,Joel Embiid,East,"Jan 25, 2021",Philadelphia Sixers,C,7-0,280,26,2014,6
2020-2021,Nikola Jokic,West,"Jan 25, 2021",Denver Nuggets,C,6-11,284,26,2014,5
2020-2021,Kevin Durant,East,"Jan 18, 2021",Brooklyn Nets,SF,6-11,240,32,2007,13
2020-2021,Damian Lillard,West,"Jan 18, 2021",Portland Trail Blazers,G,6-2,195,30,2012,8
2020-2021,Jayson Tatum,East,"Jan 11, 2021",Boston Celtics,SF,6-8,210,22,2017,3
2020-2021,Luka Doncic,West,"Jan 11, 2021",Dallas Mavericks,SF,6-6,230,22,2018,2
2020-2021,Tobias Harris,East,"Jan 4, 2021",Philadelphia Sixers,F,6-8,226,28,2011,9
2020-2021,Stephen Curry,West,"Jan 4, 2021",Golden State Warriors,G,6-2,185,32,2009,11
2020-2021,Domantas Sabonis,East,"Dec 28, 2020",Indiana Pacers,PF,6-10,240,24,2016,4
2020-2021,Brandon Ingram,West,"Dec 28, 2020",New Orleans Pelicans,SF,6-8,190,23,2016,4
2019-2020,Norman Powell,East,"Mar 9, 2020",Toronto Raptors,SG,6-4,215,26,2015,4
2019-2020,LeBron James,West,"Mar 9, 2020",Los Angeles Lakers,F,6-9,250,35,2003,16
2019-2020,Giannis Antetokounmpo,East,"Mar 2, 2020",Milwaukee Bucks,F,6-11,243,25,2013,6
2019-2020,Kristaps Porzingis,West,"Mar 2, 2020",Dallas Mavericks,FC,7-2,240,24,2015,4
2019-2020,Jayson Tatum,East,"Feb 10, 2020",Boston Celtics,SF,6-8,210,21,2017,2
2019-2020,Nikola Jokic,West,"Feb 10, 2020",Denver Nuggets,C,6-11,284,25,2014,4
2019-2020,Jaylen Brown,East,"Feb 3, 2020",Boston Celtics,SF,6-6,223,23,2016,3
2019-2020,Damian Lillard,West,"Feb 3, 2020",Portland Trail Blazers,G,6-2,195,29,2012,7
2019-2020,Pascal Siakam,East,"Jan 27, 2020",Toronto Raptors,F,6-8,245,25,2016,3
2019-2020,Damian Lillard,West,"Jan 27, 2020",Portland Trail Blazers,G,6-2,195,29,2012,7
2019-2020,Ben Simmons,East,"Jan 20, 2020",Philadelphia Sixers,PF,6-10,240,23,2016,3
2019-2020,Kawhi Leonard,West,"Jan 20, 2020",Los Angeles Clippers,F,6-7,225,28,2011,8
2019-2020,Josh Richardson,East,"Jan 13, 2020",Philadelphia Sixers,G,6-5,200,26,2015,4
2019-2020,DeMar DeRozan,West,"Jan 13, 2020",San Antonio Spurs,GF,6-6,220,30,2009,10
2019-2020,Giannis Antetokounmpo,East,"Jan 6, 2020",Milwaukee Bucks,F,6-11,243,25,2013,6
2019-2020,LeBron James,West,"Jan 6, 2020",Los Angeles Lakers,F,6-9,250,35,2003,16
2019-2020,Jaylen Brown,East,"Dec 30, 2019",Boston Celtics,SF,6-6,223,23,2016,3
2019-2020,Brandon Ingram,West,"Dec 30, 2019",New Orleans Pelicans,SF,6-8,190,22,2016,3
2019-2020,Kyle Lowry,East,"Dec 23, 2019",Toronto Raptors,PG,6-0,196,33,2006,13
2019-2020,Dennis Schroder,West,"Dec 23, 2019",Oklahoma City Thunder,PG,6-1,175,26,2013,6
2019-2020,Bam Adebayo,East,"Dec 16, 2019",Miami Heat,C,6-9,255,22,2017,2
2019-2020,LeBron James,West,"Dec 16, 2019",Los Angeles Lakers,F,6-9,250,35,2003,16
2019-2020,Jimmy Butler,East,"Dec 9, 2019",Miami Heat,GF,6-7,230,30,2011,8
2019-2020,Anthony Davis,West,"Dec 9, 2019",Los Angeles Lakers,PF,6-10,253,26,2012,7
2019-2020,Giannis Antetokounmpo,East,"Dec 2, 2019",Milwaukee Bucks,F,6-11,243,25,2013,6
2019-2020,Carmelo Anthony,West,"Dec 2, 2019",Portland Trail Blazers,F,6-8,240,35,2003,16
2019-2020,Spencer Dinwiddie,East,"Nov 25, 2019",Brooklyn Nets,PG,6-5,215,26,2014,5
2019-2020,Luka Doncic,West,"Nov 25, 2019",Dallas Mavericks,SF,6-6,230,21,2018,1
2019-2020,Nikola Vucevic,East,"Nov 18, 2019",Orlando Magic,PF,6-10,260,29,2011,8
2019-2020,James Harden,West,"Nov 18, 2019",Houston Rockets,SG,6-5,220,30,2009,10
2019-2020,Pascal Siakam,East,"Nov 11, 2019",Toronto Raptors,F,6-8,245,25,2016,3
2019-2020,James Harden,West,"Nov 11, 2019",Houston Rockets,SG,6-5,220,30,2009,10
